ID,VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE,IDADE_EMPRESA,VL_PAGAMENTOS,QT_PAGAMENTOS,VL_RECEBIMENTOS,QT_RECEBIMENTOS,CLUSTER,MOMENTO_VIDA,CENTRALIDADE,NIVEL_DEPENDENCIA,SCORE_RISCO,PROJECAO_RECEBIMENTO
CNPJ_00011,31803040,-1193282,1994-01-18,Atividades hospitalares,2025-01-31,31.0362765229295,762.0,9.0,71.0,1.0,0,Consolidada,0.00044449383264807203,1.0,83,71.0
CNPJ_00012,656692,-50302,2019-04-13,Comércio atacadista de bebidas,2025-01-31,5.804243668720055,254.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,0.0
CNPJ_00013,2610501,-57846,2022-03-30,Engenharia civil,2025-01-31,2.841889117043121,13244128.0,202.0,132564.0,7.0,1,Pequeno Porte,0.007778642071341261,0.6524546634078634,98,39887.399999999994
CNPJ_00014,185527,-17259,2023-12-26,Educação superior,2025-01-31,1.1006160164271048,31.0,1.0,79.0,1.0,1,Pequeno Porte,0.00022224691632403602,1.0,99,79.0
CNPJ_00015,1969674,182895,2019-05-13,Restaurantes e similares,2025-01-31,5.722108145106092,197488.0,28.0,97647.0,14.0,1,Pequeno Porte,0.001889098788754306,0.31590320235132674,27,27916.199999999997
CNPJ_00016,362664,-20292,2018-04-20,Comércio atacadista de alimentos,2025-01-31,6.784394250513347,17.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,0.0
CNPJ_00017,174296921,-14191420,2011-09-30,Defesa nacional,2025-01-31,13.338809034907598,2040.0,12.0,0.0,0.0,2,Grande Porte,0.00044449383264807203,0.4323529411764706,50,0.0
CNPJ_00018,175251,13594,2019-06-05,Cultivo de soja,2025-01-31,5.6591375770020536,182.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,0.0
CNPJ_00019,2344200,341593,2021-04-15,Produção de alumínio,2025-01-31,3.7973990417522243,20437711.0,273.0,5581096.0,83.0,3,Em Crescimento,0.014223802644738305,0.08930288961164617,28,2025973.7999999998
CNPJ_00020,2647053,-152009,2019-08-08,Construção de rodovias,2025-01-31,5.4839151266255985,629.0,4.0,1411.0,4.0,1,Pequeno Porte,0.00044449383264807203,0.8378378378378378,97,580.6
CNPJ_00021,99229866,1336175,2009-10-16,Construção de barragens,2025-01-31,15.293634496919918,13550.0,12.0,2090.0,3.0,0,Consolidada,0.00055561729081009,1.0,45,588.3
CNPJ_00022,1646496,85604,2021-04-29,Defesa nacional,2025-01-31,3.759069130732375,1460.0,6.0,224.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,58,224.0
CNPJ_00023,10745208,-639614,2021-07-13,Educação superior,2025-01-31,3.5537303216974676,3524.0,3.0,3793.0,2.0,1,Pequeno Porte,0.000333370374486054,1.0,98,3793.0
CNPJ_00024,234499,21432,2023-03-11,Engenharia civil,2025-01-31,1.894592744695414,589.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,59,0.0
CNPJ_00025,1416231,101320,2014-12-20,Atividades hospitalares,2025-01-31,10.116358658453114,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,25,0.0
CNPJ_00026,1988975,-259925,2018-08-03,Geração de energia elétrica,2025-01-31,6.496919917864476,3845.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.657997399219766,97,0.0
CNPJ_00027,99074,-5878,2021-03-31,Defesa nacional,2025-01-31,3.838466803559206,139823.0,18.0,29701.0,4.0,1,Pequeno Porte,0.0008889876652961441,0.998148210497963,98,4877.1
CNPJ_00028,2732620,97633,2022-07-11,Fabricação de automóveis,2025-01-31,2.5598904859685145,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,28,0.0
CNPJ_00029,114440,-2710,2023-12-22,Saneamento básico,2025-01-31,1.111567419575633,12053.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.5293287978096739,99,0.0
CNPJ_00030,188626,8697,2021-04-18,Extração de minério de ferro,2025-01-31,3.789185489390828,89.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,58,0.0
CNPJ_00031,825747,-30076,2018-09-11,Construção de barragens,2025-01-31,6.3901437371663246,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,67,0.0
CNPJ_00032,96400,-5987,2023-12-23,Correios e entregas expressas,2025-01-31,1.108829568788501,208.0,6.0,50.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,99,50.0
CNPJ_00033,2136481,-151605,2014-04-27,Planos de saúde,2025-01-31,10.765229295003422,1299.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,95,0.0
CNPJ_00034,213367,-1655,2020-02-18,Telecomunicações sem fio,2025-01-31,4.952772073921971,0.0,0.0,350.0,2.0,1,Pequeno Porte,0.00022224691632403602,0.8314285714285714,98,11.962199312714777
CNPJ_00035,1331544,103921,2019-07-10,Saneamento básico,2025-01-31,5.563312799452429,1799.0,7.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.6064480266814897,57,0.0
CNPJ_00036,751334,-71239,2014-04-23,Obras de infraestrutura elétrica,2025-01-31,10.77618069815195,0.0,0.0,1463.0,3.0,1,Pequeno Porte,0.00011112345816201801,1.0,95,339.4
CNPJ_00037,1704447,-44850,2020-09-22,Comércio atacadista de calçados,2025-01-31,4.358658453114305,384.0,3.0,707.0,4.0,1,Pequeno Porte,0.000333370374486054,1.0,98,81.3
CNPJ_00038,1795842,-54816,2018-01-26,Construção de rodovias,2025-01-31,7.014373716632443,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,66,0.0
CNPJ_00039,4443979,-107882,2009-05-25,Telecomunicações sem fio,2025-01-31,15.68788501026694,0.0,0.0,2399.0,3.0,1,Pequeno Porte,0.00011112345816201801,1.0,92,1201.1999999999998
CNPJ_00040,243152,-12672,2022-08-18,Hotéis e pousadas,2025-01-31,2.455852156057495,961.0,6.0,321.0,3.0,1,Pequeno Porte,0.000333370374486054,1.0,99,78.1
CNPJ_00041,144122843,2175739,2006-09-05,Fabricação de automóveis,2025-01-31,18.406570841889117,161.0,3.0,0.0,0.0,0,Consolidada,0.00011112345816201801,1.0,40,0.0
CNPJ_00042,193452,-18100,2019-06-14,Restaurantes e similares,2025-01-31,5.634496919917864,443.0,6.0,33.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,97,33.0
CNPJ_00043,118592,9226,2023-10-17,Comércio atacadista de calçados,2025-01-31,1.2922655715263518,19210345.0,278.0,6986109.0,92.0,3,Em Crescimento,0.014779419935548396,0.07815652461191201,29,2004853.1
CNPJ_00044,2306070,-114884,2017-07-01,Construção de rodovias,2025-01-31,7.586584531143052,35811.0,18.0,5473.0,2.0,1,Pequeno Porte,0.0008889876652961441,0.6442536086241549,96,1075.1018150879183
CNPJ_00045,240781,8031,2020-03-22,Educação superior,2025-01-31,4.862422997946612,0.0,0.0,129.0,1.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,129.0
CNPJ_00046,154453,-7011,2019-12-19,Comércio varejista de alimentos,2025-01-31,5.119780971937029,4513.0,6.0,4151.0,7.0,1,Pequeno Porte,0.00055561729081009,0.6339463771327277,98,1930.8999999999999
CNPJ_00047,84543,8090,2022-08-19,Consultoria empresarial,2025-01-31,2.4531143052703626,110348.0,21.0,16649.0,1.0,1,Pequeno Porte,0.0008889876652961441,1.0,59,16649.0
CNPJ_00048,986403,-120766,2018-03-24,Comércio varejista de alimentos,2025-01-31,6.8583162217659135,1039.0,6.0,433.0,3.0,1,Pequeno Porte,0.000333370374486054,1.0,97,192.1
CNPJ_00049,696657,29072,2021-06-10,Geração de energia elétrica,2025-01-31,3.6440793976728267,0.0,0.0,787.0,3.0,1,Pequeno Porte,0.00011112345816201801,1.0,58,98.6
CNPJ_00050,902410,107424,2019-07-05,Construção de barragens,2025-01-31,5.577002053388091,195.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,0.0
CNPJ_00051,175486,16462,2020-10-05,Atividades hospitalares,2025-01-31,4.323066392881588,8199.0,6.0,872.0,2.0,1,Pequeno Porte,0.00044449383264807203,0.7575314062690572,58,147.00689655172414
CNPJ_00052,170965,-6468,2019-10-10,Geração de energia elétrica,2025-01-31,5.3114305270362765,28369254.0,337.0,9251583.0,101.0,3,Em Crescimento,0.016779642182464718,0.08320327450988659,67,2848141.3
CNPJ_00053,13086903,1269768,2012-06-09,Saneamento básico,2025-01-31,12.646132785763175,885.0,3.0,948.0,3.0,1,Pequeno Porte,0.00022224691632403602,1.0,53,148.7
CNPJ_00054,129096,5687,2021-05-03,Telecomunicações sem fio,2025-01-31,3.7481177275838466,574.0,3.0,783.0,6.0,1,Pequeno Porte,0.000333370374486054,1.0,58,284.2
CNPJ_00055,2148804,-90096,2018-07-01,Armazenamento geral,2025-01-31,6.587268993839836,5517.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,0.0
CNPJ_00056,233204,-2178,2019-03-20,Construção de edifícios,2025-01-31,5.8699520876112254,428.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,0.0
CNPJ_00057,188899,-3361,2020-07-12,Fabricação de caminhões e ônibus,2025-01-31,4.555783709787817,4371296.0,138.0,1622032.0,48.0,1,Pequeno Porte,0.007445271696855206,0.12158946309320655,68,487185.69999999995
CNPJ_00058,2696307,133012,2019-01-22,Obras de infraestrutura elétrica,2025-01-31,6.026009582477755,66.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,0.0
CNPJ_00059,293956,-8600,2020-11-05,Armazenamento geral,2025-01-31,4.238193018480493,30.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,98,0.0
CNPJ_00060,2208150,-164322,2022-08-03,Comércio varejista de alimentos,2025-01-31,2.4969199178644765,0.0,0.0,90.0,2.0,1,Pequeno Porte,0.00022224691632403602,0.6222222222222222,99,20.642857142857142
CNPJ_00061,266114,-5745,2020-06-26,Atividades de bancos múltiplos,2025-01-31,4.59958932238193,14923.0,9.0,9116.0,7.0,1,Pequeno Porte,0.0008889876652961441,0.47860903905221586,68,3452.5
CNPJ_00062,1901121,-68875,2014-06-28,Fabricação de caminhões e ônibus,2025-01-31,10.595482546201232,44332.0,9.0,33834.0,6.0,1,Pequeno Porte,0.00055561729081009,0.6383223975882248,95,12052.3
CNPJ_00063,202382,16253,2021-03-31,Correios e entregas expressas,2025-01-31,3.838466803559206,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,28,0.0
CNPJ_00064,51942,5062,2022-01-08,Serviços de tecnologia da informação,2025-01-31,3.0636550308008212,3863.0,9.0,329.0,1.0,1,Pequeno Porte,0.00044449383264807203,1.0,58,329.0
CNPJ_00065,1352525,-119983,2017-06-19,Cultivo de trigo,2025-01-31,7.619438740588638,263.0,3.0,111.0,1.0,1,Pequeno Porte,0.00022224691632403602,1.0,96,111.0
CNPJ_00066,1275708,119545,2016-10-24,Montagem industrial,2025-01-31,8.271047227926077,299.0,6.0,51.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,56,51.0
CNPJ_00067,182887,824,2023-09-24,Construção de edifícios,2025-01-31,1.3552361396303902,28694.0,15.0,4920.0,3.0,1,Pequeno Porte,0.000666740748972108,1.0,59,1640.8999999999999
CNPJ_00068,76136353,-859376,2009-01-29,Comércio atacadista de medicamentos,2025-01-31,16.005475701574266,11208.0,9.0,6790.0,3.0,0,Consolidada,0.000666740748972108,0.5347569955817378,87,2748.3561002478655
CNPJ_00069,2204073,-218059,2015-06-07,Comércio varejista de alimentos,2025-01-31,9.653661875427789,218695.0,42.0,34717.0,7.0,1,Pequeno Porte,0.001889098788754306,0.4549644266497681,65,7075.6
CNPJ_00070,295964,14420,2019-09-24,Extração de minério de ferro,2025-01-31,5.3552361396303905,4447.0,9.0,1864.0,3.0,1,Pequeno Porte,0.00044449383264807203,1.0,57,820.3999999999999
CNPJ_00071,269800,3225,2019-01-22,Fabricação de produtos químicos,2025-01-31,6.026009582477755,114.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,0.0
CNPJ_00072,72226,2146,2023-11-30,Serviços de tecnologia da informação,2025-01-31,1.1718001368925393,460.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.6630434782608695,59,0.0
CNPJ_00073,1658037,122944,2018-02-22,Fabricação de produtos químicos,2025-01-31,6.940451745379876,2118.0,3.0,6081.0,10.0,1,Pequeno Porte,0.00055561729081009,1.0,56,2176.7999999999997
CNPJ_00074,69788,3023,2019-06-18,Transporte rodoviário de carga,2025-01-31,5.623545516769336,62.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,0.0
CNPJ_00075,2298109,-223940,2020-12-05,Fabricação de automóveis,2025-01-31,4.15605749486653,266378.0,30.0,260040.0,19.0,1,Pequeno Porte,0.002111345705078342,0.23250269189355482,68,91499.0
CNPJ_00076,686771,40324,2014-07-14,Administração pública,2025-01-31,10.55167693360712,50737.0,12.0,11036.0,3.0,1,Pequeno Porte,0.00055561729081009,1.0,55,2923.0
CNPJ_00077,203754,26009,2021-08-17,Planos de saúde,2025-01-31,3.457905544147844,1028144.0,54.0,17418.0,1.0,1,Pequeno Porte,0.002111345705078342,1.0,58,17418.0
CNPJ_00078,40259354,2902016,2010-05-10,Consultoria empresarial,2025-01-31,14.729637234770705,33.0,1.0,0.0,0.0,0,Consolidada,0.00011112345816201801,1.0,50,0.0
CNPJ_00079,71470,-326,2022-08-10,Fabricação de automóveis,2025-01-31,2.4777549623545516,509553.0,51.0,352025.0,26.0,1,Pequeno Porte,0.0030003333703744863,0.15495774447837513,69,83832.59999999999
CNPJ_00080,137245,-8875,2019-09-25,Defesa nacional,2025-01-31,5.352498288843258,0.0,0.0,210.0,2.0,1,Pequeno Porte,0.00022224691632403602,0.8523809523809524,97,210.0
CNPJ_00081,58465,1893,2019-12-19,Defesa nacional,2025-01-31,5.119780971937029,0.0,0.0,17.0,1.0,1,Pequeno Porte,0.00011112345816201801,1.0,57,17.0
CNPJ_00082,1051801,37385,2022-06-28,Armazenamento geral,2025-01-31,2.595482546201232,8452.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.6480123047799338,58,0.0
CNPJ_00083,25443324,2473054,2006-01-30,Geração de energia elétrica,2025-01-31,19.003422313483917,2895.0,6.0,3693.0,5.0,0,Consolidada,0.00055561729081009,0.9807744381261847,49,2032.0
CNPJ_00084,394518,54834,2021-11-02,Comércio atacadista de tecidos,2025-01-31,3.247091033538672,0.0,0.0,0.0,0.0,1,Pequeno Porte,0.0,0.0,28,0.0
CNPJ_00085,280618,-28147,2019-01-09,Hotéis e pousadas,2025-01-31,6.061601642710472,16898.0,8.0,9375.0,3.0,1,Pequeno Porte,0.00044449383264807203,1.0,97,3801.2999999999997
CNPJ_00086,170731677,6880921,1995-08-16,Padaria e confeitaria,2025-01-31,29.462012320328544,4963.0,3.0,7072.0,7.0,0,Consolidada,0.00044449383264807203,1.0,33,1513.7999999999997
CNPJ_00087,114374372,4590751,2015-02-10,Telecomunicações sem fio,2025-01-31,9.973990417522245,7806.0,7.0,6396.0,7.0,0,Consolidada,0.000666740748972108,0.7058672815782732,46,2812.9999999999995
CNPJ_00088,1656210,-74834,2021-05-04,Fabricação de caminhões e ônibus,2025-01-31,3.7453798767967146,2540821.0,105.0,1009146.0,25.0,1,Pequeno Porte,0.005111679075452828,0.4017168972576812,68,349205.2
CNPJ_00089,2740451,-6961,2021-05-05,Cultivo de milho,2025-01-31,3.7426420260095825,413356.0,31.0,0.0,0.0,1,Pequeno Porte,0.0012223580397821981,0.19755126331781805,68,0.0
CNPJ_00090,395094,11953,2020-05-15,Telecomunicações sem fio,2025-01-31,4.714579055441479,451.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,58,0.0
CNPJ_00091,1317922,100977,2014-07-17,Administração pública,2025-01-31,10.543463381245722,29392647.0,358.0,30131674.0,310.0,3,Em Crescimento,0.02733637070785643,0.04526592183361602,24,11530275.5
CNPJ_00092,11099849,909523,2020-01-15,Educação superior,2025-01-31,5.045859000684462,1934.0,3.0,5835.0,7.0,1,Pequeno Porte,0.00044449383264807203,1.0,57,2463.7999999999997
CNPJ_00093,434581,58360,2022-09-06,Cultivo de milho,2025-01-31,2.403832991101985,541.0,9.0,0.0,0.0,1,Pequeno Porte,0.000333370374486054,0.3659889094269871,28,0.0
CNPJ_00094,854335,-53370,2022-08-02,Construção de rodovias,2025-01-31,2.4996577686516086,533515.0,33.0,0.0,0.0,1,Pequeno Porte,0.0012223580397821981,0.16974218156940293,69,0.0
CNPJ_00095,95709,-6912,2020-03-21,Fabricação de móveis,2025-01-31,4.865160848733744,21025495.0,278.0,12766368.0,159.0,3,Em Crescimento,0.018002000222246916,0.0676568308229874,68,4529481.5
CNPJ_00096,1929832,112429,2022-11-27,Produção de alumínio,2025-01-31,2.1793292265571527,88236.0,18.0,62658.0,14.0,1,Pequeno Porte,0.001333481497944216,0.4084713843403875,28,16917.5
CNPJ_00097,221885,-5325,2023-06-08,Produção cinematográfica,2025-01-31,1.6509240246406571,2308.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,99,0.0
CNPJ_00098,1204408,-97234,2014-07-19,Educação superior,2025-01-31,10.537987679671458,65.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,95,0.0
CNPJ_00099,44548282,743251,2000-04-11,Construção de rodovias,2025-01-31,24.80766598220397,658.0,9.0,0.0,0.0,0,Consolidada,0.000333370374486054,0.4316109422492401,14,0.0
CNPJ_00100,257727,9038,2022-08-12,Comércio atacadista de bebidas,2025-01-31,2.4722792607802875,963831.0,50.0,745798.0,44.0,1,Pequeno Porte,0.0036670741193465944,0.1414981000217217,28,241083.8
CNPJ_00101,259538,3300,2022-12-01,Cultivo de trigo,2025-01-31,2.1683778234086244,5775623.0,126.0,3647825.0,74.0,1,Pequeno Porte,0.008112012445827314,0.11487228691069336,29,1137021.0
CNPJ_00102,107861609,3649957,2007-09-22,Educação superior,2025-01-31,17.360711841204655,20.0,1.0,0.0,0.0,0,Consolidada,0.00011112345816201801,1.0,43,0.0
CNPJ_00103,907249,7513,2019-07-19,Transporte ferroviário de carga,2025-01-31,5.538672142368241,1181059.0,71.0,841667.0,39.0,1,Pequeno Porte,0.004778308700966774,0.11057787968255609,27,290438.39999999997
CNPJ_00104,1293041,-114244,2017-04-11,Extração de minério de ferro,2025-01-31,7.808350444900753,34.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,96,0.0
CNPJ_00105,909810,59918,2014-07-28,Comércio atacadista de calçados,2025-01-31,10.513347022587268,10236.0,18.0,1306.0,1.0,1,Pequeno Porte,0.0007778642071341261,1.0,55,1306.0
CNPJ_00106,132136375,-11805051,2002-04-16,Fabricação de papel,2025-01-31,22.795345653661876,6237.0,6.0,2788.0,3.0,2,Grande Porte,0.000333370374486054,1.0,79,1050.6
CNPJ_00107,420842,199,2021-01-25,Produção de alumínio,2025-01-31,4.016427104722792,213.0,4.0,107.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,58,107.0
CNPJ_00108,125646,-12155,2023-08-29,Saneamento básico,2025-01-31,1.4264202600958247,180.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,99,0.0
CNPJ_00109,160471614,5570310,2012-08-09,Extração de minério de ferro,2025-01-31,12.479123887748118,5695.0,3.0,9373.0,6.0,0,Consolidada,0.000333370374486054,1.0,42,3851.6
CNPJ_00110,435001,-22015,2022-08-22,Obras de infraestrutura elétrica,2025-01-31,2.4449007529089664,37.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,99,0.0
CNPJ_00111,1575703,-82003,2015-10-26,Engenharia civil,2025-01-31,9.267624914442163,1684.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,95,0.0
CNPJ_00112,29153202,-869413,2012-11-02,Construção de rodovias,2025-01-31,12.24640657084189,1477.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.6411645226811103,92,0.0
CNPJ_00113,185773139,16706485,2006-07-10,Obras de infraestrutura elétrica,2025-01-31,18.562628336755647,0.0,0.0,0.0,0.0,0,Consolidada,0.0,0.0,7,0.0
CNPJ_00114,2072166,19784,2017-05-01,Fabricação de produtos químicos,2025-01-31,7.753593429158111,57.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,56,0.0
CNPJ_00115,221165,8392,2022-01-21,Comércio atacadista de calçados,2025-01-31,3.028062970568104,199100.0,30.0,45931.0,6.0,1,Pequeno Porte,0.001333481497944216,0.5751888702619146,58,18440.4
CNPJ_00116,106290,-3630,2019-05-09,Transporte rodoviário de carga,2025-01-31,5.73305954825462,0.0,0.0,188.0,1.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,188.0
CNPJ_00117,2598726,-18909,2022-03-13,Comércio atacadista de medicamentos,2025-01-31,2.8884325804243667,2261.0,3.0,385.0,3.0,1,Pequeno Porte,0.00022224691632403602,1.0,98,164.0
CNPJ_00118,630718,-22815,2021-10-13,Comércio varejista de alimentos,2025-01-31,3.3018480492813143,3802.0,6.0,4626.0,7.0,1,Pequeno Porte,0.00055561729081009,0.6125723303524461,98,1946.3999999999999
CNPJ_00119,2403080,170495,2017-02-17,Hotéis e pousadas,2025-01-31,7.953456536618754,57.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,56,0.0
CNPJ_00120,196797,7038,2020-06-15,Cultivo de soja,2025-01-31,4.629705681040384,693630.0,33.0,686921.0,32.0,1,Pequeno Porte,0.0030003333703744863,0.20531764205782033,27,216086.09999999998
CNPJ_00121,985733,58004,2017-11-21,Fabricação de caminhões e ônibus,2025-01-31,7.195071868583162,29121.0,12.0,5341.0,3.0,1,Pequeno Porte,0.00055561729081009,1.0,56,2099.7
CNPJ_00122,7754973,-910634,2018-03-18,Seguros de vida,2025-01-31,6.874743326488707,16555169.0,211.0,24171005.0,277.0,3,Em Crescimento,0.02066896321813535,0.043376059767194164,66,8796946.2
CNPJ_00123,284701,-37862,2022-01-11,Montagem industrial,2025-01-31,3.055441478439425,587.0,6.0,0.0,0.0,1,Pequeno Porte,0.00022224691632403602,0.6337308347529813,99,0.0
CNPJ_00124,7929323,578814,2010-02-19,Geração de energia elétrica,2025-01-31,14.948665297741274,11425.0,9.0,2108.0,3.0,1,Pequeno Porte,0.00044449383264807203,1.0,52,645.8
CNPJ_00125,1080210,88236,2022-02-28,Cultivo de soja,2025-01-31,2.924024640657084,601241.0,45.0,0.0,0.0,1,Pequeno Porte,0.0016668518724302702,0.14269652269223157,28,0.0
CNPJ_00126,1832892,-105009,2019-05-29,Extração de petróleo e gás natural,2025-01-31,5.678302532511978,27880871.0,345.0,16095887.0,152.0,3,Em Crescimento,0.021002333592621405,0.05509600061183332,67,5246954.899999999
CNPJ_00127,1003331,-146939,2014-11-05,Administração pública,2025-01-31,10.239561943874058,2291.0,6.0,1575.0,3.0,1,Pequeno Porte,0.000333370374486054,1.0,95,469.7
CNPJ_00128,298196,-20844,2022-08-24,Engenharia civil,2025-01-31,2.439425051334702,18108.0,12.0,16796.0,9.0,1,Pequeno Porte,0.0007778642071341261,0.4343891402714932,69,4810.599999999999
CNPJ_00129,92882,171,2022-02-28,Fabricação de produtos químicos,2025-01-31,2.924024640657084,4881.0,6.0,1004.0,3.0,1,Pequeno Porte,0.000333370374486054,1.0,58,260.5
CNPJ_00130,238455,9494,2021-09-11,Extração de petróleo e gás natural,2025-01-31,3.3894592744695413,7745.0,3.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,58,0.0
CNPJ_00131,12291356,1204681,2001-08-04,Administração pública,2025-01-31,23.49349760438056,8607.0,19.0,0.0,0.0,0,Consolidada,0.0007778642071341261,0.19414430115022657,17,0.0
CNPJ_00132,220552,-13108,2019-03-08,Montagem industrial,2025-01-31,5.90280629705681,23459.0,15.0,679.0,1.0,1,Pequeno Porte,0.000666740748972108,1.0,97,679.0
CNPJ_00133,2147430,-210652,2016-04-13,Produção de ferro-gusa,2025-01-31,8.802190280629706,2713094.0,105.0,1895293.0,67.0,1,Pequeno Porte,0.007334148238693189,0.07227273039049899,65,458611.6
CNPJ_00134,229059,8048,2023-09-25,Cultivo de soja,2025-01-31,1.352498288843258,566.0,6.0,125.0,3.0,1,Pequeno Porte,0.000333370374486054,1.0,59,34.599999999999994
CNPJ_00135,752850,-49960,2016-08-02,Engenharia civil,2025-01-31,8.498288843258042,4308.0,12.0,0.0,0.0,1,Pequeno Porte,0.00044449383264807203,0.29224698235840296,66,0.0
CNPJ_00136,234311,4534,2019-12-10,Planos de saúde,2025-01-31,5.144421629021219,20723948.0,243.0,39285.0,4.0,3,Em Crescimento,0.009001000111123458,0.9857197403589156,57,13463.5
CNPJ_00137,2310663,-31497,2022-04-22,Transporte ferroviário de carga,2025-01-31,2.7789185489390826,21.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,99,0.0
