ID_PGTO;ID_RCBE;VL;DS_TRAN;DT_REFE;
CNPJ_06862;CNPJ_08777;823;PIX;2025-03-14;
CNPJ_00814;CNPJ_03393;22903;BOLETO;2025-03-14;
CNPJ_03210;CNPJ_06952;87373;PIX;2025-03-25;
CNPJ_02296;CNPJ_09961;144906;PIX;2025-03-09;
CNPJ_00019;CNPJ_03231;2155;PIX;2025-03-16;
CNPJ_05478;CNPJ_09312;95299;PIX;2025-03-03;
CNPJ_00258;CNPJ_07189;5710;PIX;2025-03-13;
CNPJ_00583;CNPJ_00489;24600;BOLETO;2025-03-15;
CNPJ_03818;CNPJ_00226;19268;PIX;2025-03-25;
CNPJ_09968;CNPJ_08798;23825;PIX;2025-03-02;
CNPJ_06035;CNPJ_00451;129419;PIX;2025-03-28;
CNPJ_00615;CNPJ_05687;95323;PIX;2025-03-10;
CNPJ_08322;CNPJ_09848;14896;PIX;2025-03-27;
CNPJ_02551;CNPJ_06627;105176;PIX;2025-03-07;
CNPJ_08487;CNPJ_00091;26797;PIX;2025-03-27;
CNPJ_03696;CNPJ_09426;131296;PIX;2025-03-26;
CNPJ_05418;CNPJ_04492;15924;PIX;2025-03-17;
CNPJ_09675;CNPJ_06124;52659;PIX;2025-03-18;
CNPJ_00120;CNPJ_04349;35892;PIX;2025-03-23;
CNPJ_02551;CNPJ_06611;32760;PIX;2025-03-01;
CNPJ_03534;CNPJ_00677;410907;PIX;2025-03-22;
CNPJ_01922;CNPJ_09030;40229;PIX;2025-03-24;
CNPJ_09411;CNPJ_07352;171949;BOLETO;2025-03-10;
CNPJ_05435;CNPJ_02548;203971;BOLETO;2025-03-04;
CNPJ_00615;CNPJ_04795;236961;BOLETO;2025-03-14;
CNPJ_01825;CNPJ_03993;333088;PIX;2025-03-24;
CNPJ_07751;CNPJ_09675;73563;PIX;2025-03-13;
CNPJ_02014;CNPJ_01929;93926;PIX;2025-03-01;
CNPJ_08343;CNPJ_07064;286215;PIX;2025-03-08;
CNPJ_08230;CNPJ_07559;46046;BOLETO;2025-03-09;
CNPJ_06469;CNPJ_01216;329510;PIX;2025-03-10;
CNPJ_01289;CNPJ_03168;182045;SISTEMICO;2025-03-29;
CNPJ_00837;CNPJ_07132;33081;PIX;2025-03-07;
CNPJ_03214;CNPJ_04482;52411;SISTEMICO;2025-03-09;
CNPJ_07765;CNPJ_09671;61139;PIX;2025-03-30;
CNPJ_08708;CNPJ_02376;74549;PIX;2025-03-10;
CNPJ_08198;CNPJ_01937;99460;TED;2025-03-04;
CNPJ_02483;CNPJ_06330;19401;PIX;2025-03-01;
CNPJ_02062;CNPJ_06097;88839;PIX;2025-03-18;
CNPJ_04262;CNPJ_00250;123551;PIX;2025-03-04;
CNPJ_00427;CNPJ_08211;7941;PIX;2025-03-14;
CNPJ_03562;CNPJ_07582;73520;BOLETO;2025-03-11;
CNPJ_08404;CNPJ_08253;53930;PIX;2025-03-06;
CNPJ_08263;CNPJ_09426;18277;PIX;2025-03-28;
CNPJ_08531;CNPJ_00465;63136;TED;2025-03-30;
CNPJ_09156;CNPJ_02420;3529;PIX;2025-03-17;
CNPJ_07159;CNPJ_02460;62693;PIX;2025-03-29;
CNPJ_02777;CNPJ_08900;107597;PIX;2025-03-28;
CNPJ_02783;CNPJ_06358;28979;PIX;2025-03-25;
CNPJ_00019;CNPJ_02340;51182;PIX;2025-03-29;
CNPJ_02725;CNPJ_01558;33821;PIX;2025-03-19;
CNPJ_02185;CNPJ_07069;312553;PIX;2025-03-23;
CNPJ_01251;CNPJ_03535;123716;PIX;2025-03-13;
CNPJ_03652;CNPJ_02531;120486;PIX;2025-03-10;
CNPJ_09916;CNPJ_06627;116765;BOLETO;2025-03-29;
CNPJ_05945;CNPJ_04813;10827;PIX;2025-03-06;
CNPJ_07280;CNPJ_05753;42675;BOLETO;2025-03-18;
CNPJ_03626;CNPJ_09458;108371;PIX;2025-03-03;
CNPJ_08347;CNPJ_07257;83298;PIX;2025-03-28;
CNPJ_00365;CNPJ_09368;78008;PIX;2025-03-10;
CNPJ_06021;CNPJ_04535;2926;PIX;2025-03-27;
CNPJ_04871;CNPJ_05552;79457;PIX;2025-03-17;
CNPJ_09692;CNPJ_08248;29179;BOLETO;2025-03-18;
CNPJ_01016;CNPJ_05516;296944;PIX;2025-03-28;
CNPJ_03888;CNPJ_03460;71628;PIX;2025-03-25;
CNPJ_02420;CNPJ_00126;158408;PIX;2025-03-06;
CNPJ_01061;CNPJ_05048;284833;BOLETO;2025-03-03;
CNPJ_02413;CNPJ_03883;9994;PIX;2025-03-15;
CNPJ_01077;CNPJ_07257;100190;BOLETO;2025-03-21;
CNPJ_07959;CNPJ_09848;17601;PIX;2025-03-27;
CNPJ_05977;CNPJ_08724;2095;PIX;2025-03-24;
CNPJ_05376;CNPJ_00414;139550;TED;2025-03-31;
CNPJ_04667;CNPJ_05991;52143;PIX;2025-03-30;
CNPJ_06742;CNPJ_01577;747;TED;2025-03-09;
CNPJ_00959;CNPJ_07426;128280;TED;2025-03-13;
CNPJ_06704;CNPJ_03923;144269;BOLETO;2025-03-03;
CNPJ_07735;CNPJ_01284;109176;BOLETO;2025-03-17;
CNPJ_05675;CNPJ_05756;28188;PIX;2025-03-09;
CNPJ_01563;CNPJ_02035;40587;PIX;2025-03-21;
CNPJ_02035;CNPJ_09228;133257;SISTEMICO;2025-03-20;
CNPJ_06972;CNPJ_03923;16203;TED;2025-03-08;
CNPJ_02728;CNPJ_07283;27172;PIX;2025-03-17;
CNPJ_08560;CNPJ_07065;10263;PIX;2025-03-15;
CNPJ_01054;CNPJ_05832;6633;PIX;2025-03-29;
CNPJ_02973;CNPJ_09368;154213;BOLETO;2025-03-14;
CNPJ_08993;CNPJ_02139;3284;TED;2025-03-23;
CNPJ_03535;CNPJ_01319;269177;BOLETO;2025-03-17;
CNPJ_07516;CNPJ_08510;58414;TED;2025-03-16;
CNPJ_00277;CNPJ_00403;58623;PIX;2025-03-15;
CNPJ_05950;CNPJ_05991;82076;BOLETO;2025-03-05;
CNPJ_07802;CNPJ_06492;26844;TED;2025-03-09;
CNPJ_05762;CNPJ_00122;245826;PIX;2025-03-13;
CNPJ_04047;CNPJ_03054;68334;PIX;2025-03-30;
CNPJ_05324;CNPJ_09326;26690;PIX;2025-03-12;
CNPJ_03463;CNPJ_01284;12982;PIX;2025-03-26;
CNPJ_05914;CNPJ_03206;98598;PIX;2025-03-22;
CNPJ_08537;CNPJ_07582;41740;TED;2025-03-27;
CNPJ_01594;CNPJ_06602;23248;PIX;2025-03-13;
CNPJ_03524;CNPJ_02725;23;PIX;2025-03-21;
CNPJ_08820;CNPJ_01289;85755;TED;2025-03-16;
CNPJ_03659;CNPJ_08777;309654;SISTEMICO;2025-03-06;
CNPJ_07064;CNPJ_08622;286;BOLETO;2025-03-01;
CNPJ_09732;CNPJ_04203;50596;PIX;2025-03-18;
CNPJ_07352;CNPJ_04795;264192;PIX;2025-03-02;
CNPJ_00403;CNPJ_07303;151866;PIX;2025-03-22;
CNPJ_09458;CNPJ_01537;24093;PIX;2025-03-09;
CNPJ_02736;CNPJ_01216;89192;PIX;2025-03-19;
CNPJ_08596;CNPJ_05350;129721;PIX;2025-03-03;
CNPJ_00365;CNPJ_01620;133293;PIX;2025-03-08;
CNPJ_06035;CNPJ_08780;33563;BOLETO;2025-03-11;
CNPJ_05443;CNPJ_05753;9553;PIX;2025-03-06;
CNPJ_08466;CNPJ_08605;1605;PIX;2025-03-22;
CNPJ_03054;CNPJ_06984;95151;PIX;2025-03-12;
CNPJ_03700;CNPJ_00837;18945;TED;2025-03-23;
CNPJ_01796;CNPJ_08820;49272;PIX;2025-03-20;
CNPJ_07016;CNPJ_07765;26051;PIX;2025-03-06;
CNPJ_05683;CNPJ_01147;19035;PIX;2025-03-21;
CNPJ_02582;CNPJ_01016;108356;BOLETO;2025-03-27;
CNPJ_06124;CNPJ_09562;20119;PIX;2025-03-29;
CNPJ_02185;CNPJ_01032;33708;PIX;2025-03-22;
CNPJ_06882;CNPJ_08681;5145;PIX;2025-03-23;
CNPJ_01577;CNPJ_01957;99531;TED;2025-03-10;
CNPJ_05290;CNPJ_06145;11721;BOLETO;2025-03-07;
CNPJ_08341;CNPJ_00187;8937;SISTEMICO;2025-03-16;
CNPJ_01137;CNPJ_03159;119755;PIX;2025-03-17;
CNPJ_07661;CNPJ_03535;278;PIX;2025-03-05;
CNPJ_09420;CNPJ_08035;17584;PIX;2025-03-15;
CNPJ_00837;CNPJ_07885;17965;BOLETO;2025-03-19;
CNPJ_00503;CNPJ_00160;107845;PIX;2025-03-19;
CNPJ_01176;CNPJ_08689;2293;PIX;2025-03-28;
CNPJ_01723;CNPJ_06727;2209;PIX;2025-03-24;
CNPJ_08901;CNPJ_09792;65366;SISTEMICO;2025-03-29;
CNPJ_09828;CNPJ_08730;214847;BOLETO;2025-03-23;
CNPJ_00805;CNPJ_00464;255565;PIX;2025-03-14;
CNPJ_04453;CNPJ_03206;98387;PIX;2025-03-28;
CNPJ_00742;CNPJ_06446;292;SISTEMICO;2025-03-10;
CNPJ_04153;CNPJ_08624;1489;TED;2025-03-31;
CNPJ_09370;CNPJ_04128;50068;PIX;2025-03-24;
CNPJ_01235;CNPJ_02429;73024;PIX;2025-03-12;
CNPJ_05751;CNPJ_06663;63710;BOLETO;2025-03-26;
CNPJ_03659;CNPJ_08276;317162;TED;2025-03-18;
CNPJ_06843;CNPJ_06852;179367;PIX;2025-03-15;
CNPJ_08744;CNPJ_05364;332942;PIX;2025-03-09;
CNPJ_00153;CNPJ_03327;18089;BOLETO;2025-03-11;
CNPJ_01155;CNPJ_00627;12597;PIX;2025-03-14;
CNPJ_08959;CNPJ_04235;13611;PIX;2025-03-26;
CNPJ_09599;CNPJ_05993;60180;BOLETO;2025-03-23;
CNPJ_05864;CNPJ_01183;97577;PIX;2025-03-08;
CNPJ_03188;CNPJ_01289;3195;PIX;2025-03-20;
CNPJ_08553;CNPJ_02054;799;PIX;2025-03-23;
CNPJ_08643;CNPJ_02764;244350;PIX;2025-03-30;
CNPJ_04560;CNPJ_06780;38852;PIX;2025-03-09;
CNPJ_09022;CNPJ_08692;156470;TED;2025-03-08;
CNPJ_05468;CNPJ_02983;14341;PIX;2025-03-03;
CNPJ_05353;CNPJ_01490;1111;PIX;2025-03-21;
CNPJ_05416;CNPJ_04235;300087;PIX;2025-03-22;
CNPJ_01313;CNPJ_06792;300;BOLETO;2025-03-05;
CNPJ_02023;CNPJ_04033;93509;PIX;2025-03-28;
CNPJ_02044;CNPJ_06900;29779;PIX;2025-03-18;
CNPJ_07352;CNPJ_04127;11693;SISTEMICO;2025-03-25;
CNPJ_06881;CNPJ_06627;137038;PIX;2025-03-21;
CNPJ_01577;CNPJ_05438;2772;PIX;2025-03-08;
CNPJ_03319;CNPJ_07322;248436;PIX;2025-03-15;
CNPJ_05439;CNPJ_03888;237674;BOLETO;2025-03-21;
CNPJ_02483;CNPJ_04816;8193;PIX;2025-03-03;
CNPJ_01926;CNPJ_04496;133509;PIX;2025-03-30;
CNPJ_03393;CNPJ_02296;26531;PIX;2025-03-21;
CNPJ_09312;CNPJ_08510;184330;BOLETO;2025-03-28;
CNPJ_04895;CNPJ_04440;666;TED;2025-03-16;
CNPJ_07969;CNPJ_02209;51369;PIX;2025-03-28;
CNPJ_04033;CNPJ_09228;54863;BOLETO;2025-03-28;
CNPJ_00153;CNPJ_02156;46314;PIX;2025-03-08;
CNPJ_01198;CNPJ_02973;125142;PIX;2025-03-08;
CNPJ_01112;CNPJ_05350;21497;PIX;2025-03-16;
CNPJ_04050;CNPJ_00451;261761;PIX;2025-03-29;
CNPJ_01032;CNPJ_03671;254909;PIX;2025-03-02;
CNPJ_09968;CNPJ_03326;81629;PIX;2025-03-24;
CNPJ_08671;CNPJ_06677;71420;TED;2025-03-31;
CNPJ_08241;CNPJ_07600;89088;PIX;2025-03-30;
CNPJ_05877;CNPJ_03510;22268;PIX;2025-03-13;
CNPJ_03700;CNPJ_04822;119539;PIX;2025-03-23;
CNPJ_06512;CNPJ_00503;15240;PIX;2025-03-28;
CNPJ_01183;CNPJ_03888;341445;PIX;2025-03-24;
CNPJ_08820;CNPJ_02418;2874;PIX;2025-03-05;
CNPJ_05664;CNPJ_07257;129172;SISTEMICO;2025-03-27;
CNPJ_04533;CNPJ_00122;17566;PIX;2025-03-29;
CNPJ_03958;CNPJ_03671;137518;PIX;2025-03-07;
CNPJ_07171;CNPJ_03215;12586;PIX;2025-03-06;
CNPJ_00187;CNPJ_03382;3679;PIX;2025-03-08;
CNPJ_03277;CNPJ_06663;57182;PIX;2025-03-22;
CNPJ_02486;CNPJ_01490;28469;BOLETO;2025-03-21;
CNPJ_07064;CNPJ_00337;32127;BOLETO;2025-03-07;
CNPJ_01218;CNPJ_05412;1526;PIX;2025-03-02;
CNPJ_02633;CNPJ_01054;8078;PIX;2025-03-12;
CNPJ_03211;CNPJ_07322;193961;PIX;2025-03-28;
CNPJ_01840;CNPJ_06159;35484;PIX;2025-03-22;
CNPJ_01858;CNPJ_01648;23101;PIX;2025-03-06;
CNPJ_06163;CNPJ_00679;95670;PIX;2025-03-05;
CNPJ_04560;CNPJ_03639;35791;PIX;2025-03-08;
CNPJ_03639;CNPJ_03034;135597;BOLETO;2025-03-19;
CNPJ_07303;CNPJ_06610;218027;PIX;2025-03-21;
CNPJ_04813;CNPJ_06097;132136;TED;2025-03-12;
CNPJ_00949;CNPJ_01106;220986;SISTEMICO;2025-03-09;
CNPJ_09606;CNPJ_08744;181791;SISTEMICO;2025-03-18;
CNPJ_08872;CNPJ_07352;445471;BOLETO;2025-03-31;
CNPJ_09362;CNPJ_01032;146716;BOLETO;2025-03-29;
CNPJ_05137;CNPJ_05087;61978;PIX;2025-03-03;
CNPJ_07656;CNPJ_00677;252544;PIX;2025-03-27;
CNPJ_02618;CNPJ_05963;19622;PIX;2025-03-26;
CNPJ_03349;CNPJ_07262;104970;PIX;2025-03-19;
CNPJ_04324;CNPJ_06533;55670;PIX;2025-03-02;
CNPJ_07064;CNPJ_07508;13144;PIX;2025-03-20;
CNPJ_09990;CNPJ_04813;183022;PIX;2025-03-11;
CNPJ_02303;CNPJ_03915;10411;SISTEMICO;2025-03-28;
CNPJ_00444;CNPJ_05286;158236;PIX;2025-03-08;
CNPJ_06998;CNPJ_03411;100246;PIX;2025-03-17;
CNPJ_05277;CNPJ_07582;62289;PIX;2025-03-10;
CNPJ_05350;CNPJ_02281;168075;PIX;2025-03-30;
CNPJ_08802;CNPJ_04927;143146;PIX;2025-03-11;
CNPJ_05864;CNPJ_09326;149820;BOLETO;2025-03-19;
CNPJ_02710;CNPJ_06493;54579;PIX;2025-03-09;
CNPJ_02812;CNPJ_01395;26956;BOLETO;2025-03-04;
CNPJ_08428;CNPJ_05864;267445;PIX;2025-03-12;
CNPJ_01939;CNPJ_06642;7767;PIX;2025-03-10;
CNPJ_07284;CNPJ_06364;18781;TED;2025-03-20;
CNPJ_06952;CNPJ_00091;370741;PIX;2025-03-18;
CNPJ_02281;CNPJ_06833;126704;PIX;2025-03-29;
CNPJ_05087;CNPJ_02919;36818;PIX;2025-03-22;
CNPJ_08936;CNPJ_01289;14548;PIX;2025-03-20;
CNPJ_04760;CNPJ_08294;4056;PIX;2025-03-21;
CNPJ_02296;CNPJ_06389;16507;PIX;2025-03-01;
CNPJ_01381;CNPJ_03115;85166;PIX;2025-03-28;
CNPJ_03994;CNPJ_01319;2121;BOLETO;2025-03-04;
CNPJ_04492;CNPJ_07250;34434;TED;2025-03-27;
CNPJ_03034;CNPJ_00933;137960;PIX;2025-03-12;
CNPJ_06124;CNPJ_04221;161783;BOLETO;2025-03-17;
CNPJ_00833;CNPJ_02281;112170;PIX;2025-03-19;
